Issue Title,Issue Number,State,Created At,Updated At,Closed At,URL,Labels,Author,Comments
`after_destroy` callback should not run on non `persisted?` records,48841,closed,2023-07-28T18:08:02Z,2023-08-05T05:45:58Z,2023-08-02T15:15:15Z,https://github.com/rails/rails/issues/48841,['activerecord'],smtlaissezfaire,14
ActiveStorage: Support AWS IAM Roles when using S3,48836,open,2023-07-28T14:56:59Z,2023-07-28T22:35:16Z,,https://github.com/rails/rails/issues/48836,['activestorage'],tbmetcalfe,1
`ApplicationTests::BinSetupTest#test_bin_setup_output` fails against Ruby 3.3.0dev,48826,closed,2023-07-27T09:29:05Z,2023-07-29T03:20:32Z,2023-07-29T03:20:32Z,https://github.com/rails/rails/issues/48826,"['railties', 'ci issues']",yahonda,2
CSP Middleware wrongly uses upper case header names,48815,closed,2023-07-26T14:30:17Z,2023-07-29T00:01:21Z,2023-07-29T00:01:21Z,https://github.com/rails/rails/issues/48815,"['actionpack', 'attached PR']",andrepiske,4
Rack::Lint on Rails,48874,open,2023-07-26T12:30:45Z,2023-08-03T18:49:36Z,,https://github.com/rails/rails/issues/48874,"['actionpack', 'pinned']",skipkayhil,7
`ActiveModel::Type::DateTime#cast_value` can cause silent data loss,48802,closed,2023-07-25T17:36:11Z,2023-08-02T21:38:16Z,2023-08-01T23:10:38Z,https://github.com/rails/rails/issues/48802,"['activemodel', 'attached PR']",elebow,4
ActiveStorage: Convert has no effect on content_type in the variants Options,48801,closed,2023-07-25T17:12:16Z,2023-08-05T10:37:33Z,2023-08-05T10:37:33Z,https://github.com/rails/rails/issues/48801,['activestorage'],vincent-the,8
Changing Encryption Field to Deterministic Causes Encryption Errors,48797,open,2023-07-24T19:52:06Z,2023-07-26T23:15:02Z,,https://github.com/rails/rails/issues/48797,['encryption'],aveedibya,1
Incorrect determination from `ActiveRecord::Persistence#previously_new_record?` after create-then-destroy,48794,closed,2023-07-24T17:27:12Z,2023-08-02T21:20:14Z,2023-08-02T02:50:21Z,https://github.com/rails/rails/issues/48794,['activerecord'],eizengan,2
URL of attachments inside ActionText content are wrong when content is rendered within background jobs,48790,open,2023-07-24T00:48:22Z,2023-07-28T22:36:07Z,,https://github.com/rails/rails/issues/48790,['actiontext'],Benratelade,0
Behavior changed when passing an array to `form_for` in Rails 7.0,48789,open,2023-07-23T10:18:07Z,2023-07-25T13:25:15Z,,https://github.com/rails/rails/issues/48789,['actionview'],krororo,5
Combing tagged logger without block and with block leaks tags across threads,48787,open,2023-07-22T13:24:34Z,2023-07-28T22:35:51Z,,https://github.com/rails/rails/issues/48787,['activesupport'],erikbelusic,0
Why does ActiveStorage put my attachments in crazy directories,48786,closed,2023-07-21T22:06:49Z,2023-07-24T08:42:33Z,2023-07-21T22:08:29Z,https://github.com/rails/rails/issues/48786,[],mices,3
"Arel table alias breaks insert, update, and delete statements",48775,open,2023-07-20T21:10:55Z,2023-07-21T21:59:27Z,,https://github.com/rails/rails/issues/48775,['activerecord'],lavoiesl,1
`belongs_to` validating the presence of object and not the object's ID,48771,closed,2023-07-20T15:57:19Z,2023-07-27T08:55:49Z,2023-07-27T08:55:49Z,https://github.com/rails/rails/issues/48771,['activerecord'],tejanium,2
HashWithIndifferentAccess#to_proc does not map keys to values as Hash#to_proc does,48770,open,2023-07-20T15:13:09Z,2023-07-23T20:13:54Z,,https://github.com/rails/rails/issues/48770,['activesupport'],jasonkarns,2
